element,gw,xpts
8,5,5.224
12,5,5.556475000000001
15,5,4.844
565,5,4.95
165,5,1.9662
229,5,5.187
279,5,4.634
572,5,6.3
586,5,0.0
316,5,5.4
385,5,4.267
391,5,5.892
399,5,5.0626335
426,5,5.713108500000001
464,5,2.976
1,5,5.185
606,5,1.215
611,5,2.591
618,5,0.0
94,5,5.283
115,5,5.529
124,5,6.056108500000001
40,5,4.53
154,5,4.665475000000001
226,5,4.067
649,5,4.766
330,5,6.626
350,5,3.556
367,5,3.636
627,5,1.8
411,5,6.05558
616,5,0.63
628,5,3.312
68,5,5.1046335
69,5,4.685
286,5,6.12
268,5,3.786
98,5,4.384
480,5,5.1412125
388,5,4.868
4,5,4.517
277,5,4.789
379,5,4.303
544,5,3.368
282,5,4.408685
504,5,4.212
305,5,3.958
427,5,4.069
258,5,4.01
116,5,4.07
233,5,4.44
650,5,3.6
13,5,3.8166335
453,5,3.652
335,5,4.4116335
86,5,3.6607375
605,5,3.422
214,5,3.103
334,5,4.68
449,5,4.098581
472,5,4.025
230,5,4.107
553,5,2.622
346,5,3.79158
26,5,3.32
432,5,3.401
368,5,4.0781085
250,5,3.485
138,5,3.231
242,5,3.4
112,5,3.654
362,5,4.05
79,5,3.103
533,5,2.231
204,5,3.25
173,5,3.113
88,5,3.371
237,5,3.204
70,5,3.001
236,5,3.264
384,5,3.89
503,5,3.382
356,5,3.171
109,5,3.363
428,5,3.384
469,5,3.458
542,5,2.593896
397,5,3.237
332,5,3.946
127,5,2.83
390,5,3.493
496,5,3.841
643,5,2.572
597,5,3.15
557,5,3.048
570,5,2.52
551,5,2.4837375
189,5,2.88
532,5,2.165
569,5,2.9315800000000003
338,5,3.151
579,5,3.42
272,5,1.417
270,5,1.435
626,5,2.448
636,5,2.448
377,5,3.15
82,5,3.358
87,5,3.081
653,5,3.312
20,5,1.559
483,5,2.705
249,5,3.02358
336,5,3.06
489,5,1.248
529,5,2.074
541,5,2.52
654,5,1.37
245,5,1.316
221,5,1.376
208,5,0.0
218,5,1.434
172,5,2.7
623,5,1.671
179,5,2.7
178,5,2.7
442,5,2.133
443,5,1.627
310,5,2.88
324,5,2.88
591,5,2.796
96,5,2.572
129,5,2.862
10,5,1.6025999999999998
292,5,2.88
294,5,2.88
340,5,1.404
645,5,2.88
288,5,1.259
290,5,3.157896
651,5,2.016
613,5,2.016
550,5,1.578
588,5,2.88
438,5,1.384
169,5,1.41
437,5,1.394
430,5,1.366
434,5,1.485
158,5,1.329
