element,gw,xpts
8,4,5.036
10,4,4.905
12,4,5.368475
565,4,5.4
154,4,5.103475
165,4,4.667
229,4,4.927
279,4,5.882
572,4,7.83
586,4,7.2
316,4,3.6
385,4,4.047
399,4,5.9376335
426,4,6.6831085
464,4,3.181
15,4,5.31
26,4,3.659
606,4,1.251
611,4,1.297
618,4,0.0
69,4,5.133
115,4,5.103
40,4,4.331
249,4,3.3995800000000003
277,4,5.563
330,4,4.996
367,4,2.523
379,4,5.481
627,4,2.52
411,4,5.62158
616,4,0.9
628,4,1.98
553,4,2.88
391,4,5.145
427,4,4.867
388,4,4.752
282,4,4.678685
268,4,4.404
68,4,5.2476335
480,4,4.7852125
98,4,4.745
454,4,4.194
544,4,4.128
449,4,4.850581
453,4,4.109
237,4,3.68
86,4,4.1177375
335,4,4.7086334999999995
469,4,4.065
204,4,3.26
173,4,3.91
286,4,4.23
504,4,4.884
242,4,4.004
236,4,3.731
533,4,3.078
1,4,3.825
4,4,3.936
428,4,3.422
432,4,3.565
88,4,3.786
483,4,3.177
397,4,3.323
368,4,4.5111085
472,4,3.53
94,4,3.507
124,4,4.7511085
258,4,3.776
542,4,3.361896
332,4,3.99
13,4,3.9016335
597,4,3.6
471,4,3.323
280,4,2.7
230,4,3.815
532,4,2.792
398,4,2.658
570,4,3.33
460,4,2.766
290,4,3.607896
334,4,4.23
377,4,3.87
87,4,3.383
557,4,3.3
189,4,3.312
599,4,3.312
591,4,3.039
244,4,2.827
127,4,3.218
211,4,3.5936334999999997
96,4,3.113
569,4,3.2015800000000003
233,4,3.354
226,4,3.752
474,4,3.144
79,4,3.261
218,4,1.414
217,4,1.466
213,4,1.453
221,4,1.37
384,4,3.287
390,4,3.016
567,4,2.97
551,4,2.6537375
179,4,3.105
623,4,1.619
178,4,3.105
172,4,3.105
214,4,2.725
158,4,1.295
169,4,1.4
382,4,1.425
374,4,1.48
378,4,1.414
327,4,3.103
20,4,1.489
82,4,3.021
324,4,2.88
571,4,1.559
50,4,1.405
245,4,1.361
503,4,3.416
467,4,3.329
489,4,1.323
442,4,2.195
443,4,1.651
447,4,2.935
609,4,1.225
555,4,1.546
199,4,1.769
393,4,2.843
272,4,1.418
626,4,2.448
270,4,1.429
605,4,3.21
156,4,2.914
340,4,1.412
294,4,0.0
292,4,2.448
288,4,1.261
296,4,2.448
601,4,1.357
524,4,1.358
112,4,3.012
534,4,2.247
541,4,2.7
536,4,2.263
529,4,2.262
550,4,1.568
613,4,2.448
